1#120pin连接器,,2#120pin连接器,,1#90pin连接器,,2#90pin连接器,,56pin连接器,,3#120pin连接器,
脚位,定义,脚位,定义,脚位,定义,脚位,定义,脚位,定义,脚位,定义
A,POWER+/电源+,A,万用表13+,A,,A,V1-,A,V45+,A,V73+
B,继电器供电+,B,万用表13-,B,,B,S1-,B,S45+,B,S73+
C,WAKE1/唤醒1,C,万用表14+,C,PE,C,V1+,C,V46+,C,V74+
D,WAKE2/唤醒2,D,万用表14-,D,高压源1+,D,S1+,D,S46+,D,S74+
E,WAKE3/唤醒3,E,万用表15+,E,高压源1-,E,V2+,E,V47+,E,V75+
F,WAKE4/唤醒4,F,万用表15-,F,高压源2+,F,S2+,F,S47+,F,S75+
H,WAKE5/唤醒5,H,万用表16+,H,高压源2-,H,V3+,H,V48+,H,V76+
J,WAKE6/唤醒6,J,万用表16-,J,高压源3+,J,S3+,J,S48+,J,S76+
K,WAKE7/唤醒7,K,万用表17+,K,高压源3-,K,V4+,K,V49+,K,V77+
L,WAKE8/唤醒8,L,万用表17-,L,高压源4+,L,S4+,L,S49+,L,S77+
M,WAKE9/唤醒9,M,万用表18+,M,高压源4-,M,V5+,M,V50+,M,V78+
N,POWER1-/电源1-,N,万用表18-,N,高压源5+,N,S5+,N,S50+,N,S78+
P,POWER2-/电源2-,P,万用表19+,P,高压源5-,P,V6+,P,V51+,P,V79+
R,POWER3-/电源2-,R,万用表19-,R,高压源6+,R,S6+,R,S51+,R,S79+
S,POWER4-/电源3-,S,万用表20+,S,高压源6-,S,V7+,S,V52+,S,V80+
T,INCANH/内网CANH/内网CAN高,T,万用表20-,T,高压源7+,T,S7+,T,S52+,T,S80+
U,INCANL/内网CANL/内网CAN低,U,万用表21+,U,高压源8+,U,V8+,U,V53+,U,V81+
V,INCANG/内网CANG/内网CAN地,V,万用表21-,V,高压源9+,V,S8+,V,S53+,V,S81+
W,VECANH/整车CANH/整车CAN高,W,万用表22+,W,高压源10-,W,V9+,W,V54+,W,V82+
X,VECANL/整车CANL/整车CAN低,X,万用表22-,X,PWM板卡检测1+,X,S9+,X,S54+,X,S82+
Y,VECANG/整车CANH/整车CAN地,Y,万用表23+,Y,PWM板卡检测1-,Y,V10+,Y,V55+,Y,V83+
Z,CHGCANH/充电CANH/充电CAN高,Z,万用表23-,Z,PWM板卡检测2+,Z,S10+,Z,S55+,Z,S83+
AA,CHGCANL/充电CANL/充电CAN低,AA,万用表24+,AA,PWM板卡检测2-,AA,V11+,a,V56+,AA,V84+
AB,CHGCANG/充电CANG/充电CAN地,AB,万用表24-,AB,PWM板卡检测3+,AB,S11+,b,S56+,AB,S84+
AC,预留CANH,AC,万用表25+,AC,PWM板卡检测3-,AC,V12+,c,V57+,AC,V85+
AD,预留CANL,AD,万用表25-,AD,PWM板卡检测4+,AD,S12+,d,S57+,AD,S85+
AE,,AE,万用表26+,AE,PWM板卡检测4-,AE,V13+,e,V58+,AE,V86+
AF,DC-CrashSignal-In,AF,万用表26-,AF,PWM板卡输出1+,AF,S13+,f,S58+,AF,S86+
AH,DC-CrashSignal-Out,AH,万用表27+,AH,PWM板卡输出1-,AH,V14+,h,V59+,AH,V87+
AJ,PYRO_PRM+,AJ,万用表27-,AJ,PWM板卡输出2+,AJ,S14+,j,S59+,AJ,S87+
AK,PYRO_PRM-,AK,万用表28+,AK,PWM板卡输出2-,AK,V15+,k,V60+,AK,V88+
AL,PYRO_SEC+,AL,万用表28-,AL,PWM板卡输出3+,AL,S15+,l,S60+,AL,S88+
AM,PYRO_SEC-,AM,从机NTC1+,AM,PWM板卡输出3-,AM,V16+,m,V61+,AM,V89+
AN,,AN,从机NTC1-,AN,PWM板卡输出4+,AN,S16+,n,S61+,AN,S89+
AP,,AP,从机NTC2+,AP,PWM板卡输出4-,AP,V17+,p,V62+,AP,V90+
AR,,AR,从机NTC2-,AR,短接1+,AR,S17+,r,S62+,AR,S90+
AS,,AS,从机NTC3+,AS,短接1-,AS,V18+,s,V63+,AS,V91+
AT,CC1,AT,从机NTC3-,AT,短接2+,AT,S18+,t,S63+,AT,S91+
AU,CHAOJI_CC1/超级CC1,AU,从机NTC4+,AU,短接2-,AU,V19+,u,V64+,AU,V92+
AV,CC,AV,从机NTC4-,AV,短接3+,AV,S19+,v,S64+,AV,S92+
AW,CC2,AW,从机NTC5+,AW,短接3-,AW,V20+,w,V65+,AW,V93+
AX,CP,AX,从机NTC5-,AX,短接4+,AX,S20+,x,S65+,AX,S93+
AY,PWMG,AY,从机NTC6+,AY,短接4-,AY,V21+,y,V66+,AY,V94+
AZ,5V,AZ,从机NTC6-,AZ,短接5+,AZ,S21+,z,S66+,AZ,S94+
BA,GND,BA,从机NTC7+,BA,短接5-,BA,V22+,AA,V67+,BA,V95+
BB,TMS,BB,从机NTC7-,BB,短接6+,BB,S22+,BB,S67+,BB,S95+
BC,TCK,BC,从机NTC8+,BC,短接6-,BC,V23+,CC,V68+,BC,V96+
BD,TDO,BD,从机NTC8-,BD,HSD_OUTPUT1/高边驱动1,BD,S23+,DD,S68+,BD,S96+
BE,TRST_N,BE,从机NTC9+,BE,HSD_OUTPUT2/高边驱动2,BE,V24+,EE,V69+,BE,V97+
BF,PORST_N,BF,从机NTC9-,BF,HSD_OUTPUT3/高边驱动3,BF,S24+,FF,S69+,BF,S97+
BH,,BH,从机NTC10+,BH,HSD_OUTPUT4/高边驱动4,BH,V25+,HH,V70+,BH,V98+
BJ,校准源1+,BJ,从机NTC10-,BJ,HSD_OUTPUT5/高边驱动5,BJ,S25+,JJ,S70+,BJ,S98+
BK,校准源1-,BK,从机NTC11+,BK,HSD_OUTPUT6/高边驱动6,BK,V26+,KK,V71+,BK,V99+
BL,校准源2+,BL,从机NTC11-,BL,HSD_OUTPUT7/高边驱动7,BL,S26+,LL,S71+,BL,S99+
BM,校准源2-,BM,从机NTC12+,BM,HSD_OUTPUT8/高边驱动8,BM,V27+,MM,V72+,BM,V100+
BN,校准源3+,BN,从机NTC12-,BN,LSD_OUTPUT1/低边驱动1,BN,S27+,NN,S72+,BN,S100+
BP,校准源3-,BP,从机NTC13+,BP,LSD_OUTPUT2/低边驱动2,BP,V28+,,,BP,V101+
BR,校准源4+,BR,从机NTC13-,BR,LSD_OUTPUT3/低边驱动3,BR,S28+,,,BR,S101+
BS,校准源4-,BS,从机NTC14+,BS,LSD_OUTPUT4/低边驱动4,BS,V29+,,,BS,V102+
BT,,BT,从机NTC14-,BT,LSD_OUTPUT5/低边驱动5,BT,S29+,,,BT,S102+
BU,,BU,从机NTC15+,BU,LSD_OUTPUT6/低边驱动6,BU,V30+,,,BU,V103+
BV,,BV,从机NTC15-,BV,PLC输入1,BV,S30+,,,BV,S103+
BW,,BW,从机NTC16+,BW,PLC输入2,BW,V31+,,,BW,V104+
BX,,BX,从机NTC16-,BX,PLC输入3,BX,S31+,,,BX,S104+
BY,,BY,从机NTC17+,BY,PLC输入4,BY,V32+,,,BY,V105+
BZ,,BZ,从机NTC17-,BZ,PLC输入5,BZ,S32+,,,BZ,S105+
CA,,CA,从机NTC18+,CA,PLC输出1,CA,V33+,,,CA,V106+
CB,,CB,从机NTC18-,CB,PLC输出2,CB,S33+,,,CB,S106+
CC,,CC,从机NTC19+,CC,PLC输出3,CC,V34+,,,CC,V107+
CD,,CD,从机NTC19-,CD,PLC输出4,CD,S34+,,,CD,S107+
CE,,CE,从机NTC20+,CE,24V-,CE,V35+,,,CE,V108+
CF,,CF,从机NTC20-,CF,24V+,CF,S35+,,,CF,S108+
CH,,CH,从机NTC21+,CH,485+,CH,V36+,,,CH,V109+
CJ,,CJ,从机NTC21-,CJ,485-,CJ,S36+,,,CJ,S109+
CK,,CK,从机NTC22+,CK,机柜内部短接7+,CK,V37+,,,CK,V110+
CL,主机NTC1+,CL,从机NTC22-,CL,机柜内部短接7-,CL,S37+,,,CL,S110+
CM,主机NTC1-,CM,从机NTC23+,CM,机柜内部短接8+,CM,V38+,,,CM,V111+
CN,主机NTC2+,CN,从机NTC23-,CN,机柜内部短接8-,CN,S38+,,,CN,S111+
CP,主机NTC2-,CP,从机NTC24+,CP,PLC输出5,CP,V39+,,,CP,V112+
CR,主机NTC3+,CR,从机NTC24-,CR,PLC输出6,CR,S39+,,,CR,S112+
CS,主机NTC3-,CS,从机NTC25+,CS,PLC输出7,CS,V40+,,,CS,V113+
CT,主机NTC4+,CT,从机NTC25-,CT,机柜内部短接9+,CT,S40+,,,CT,S113+
CU,主机NTC4-,CU,从机NTC26+,CU,机柜内部短接9-,CU,V41+,,,CU,V114+
CV,主机NTC5+,CV,从机NTC26-,CV,机柜内部短接10+,CV,S41+,,,CV,S114+
CW,主机NTC5-,CW,从机NTC27+,CW,机柜内部短接10-,CW,V42+,,,CW,V115+
CX,主机NTC6+,CX,从机NTC27-,CX,,CX,S42+,,,CX,S115+
CY,主机NTC6-,CY,从机NTC28+,CY,,CY,V43+,,,CY,V116+
CZ,分流器温感1+,CZ,从机NTC28-,CZ,,CZ,S43+,,,CZ,S116+
DA,分流器温感1-,DA,29#万用表+,DA,,DA,V44+,,,DA,V117+
DB,分流器温感2+,DB,29#万用表-,DB,,DB,S44+,,,DB,S117+
DC,分流器温感2-,DC,30#万用表+,,,,,,,DC,V118+
DD,预留可编程电阻1+,DD,30#万用表-,,,,,,,DD,S118+
DE,预留可编程电阻1+,DE,31#万用表+,,,,,,,DE,V119+
DF,预留可编程电阻2+,DF,31#万用表-,,,,,,,DF,S119+
DH,预留可编程电阻2-,DH,32#万用表+,,,,,,,DH,V120+
DJ,万用表1+,DJ,32#万用表-,,,,,,,DJ,S120+
DK,万用表1-,DK,33#万用表+,,,,,,,DK,V121+
DL,万用表2+,DL,33#万用表-,,,,,,,DL,S121+
DM,万用表2-,DM,34#万用表+,,,,,,,DM,V122+
DN,万用表3+,DN,34#万用表-,,,,,,,DN,S122+
DP,万用表3-,DP,PLC输出6,,,,,,,DP,V123+
DR,万用表4+,DR,PLC输出7,,,,,,,DR,S123+
DS,万用表4-,DS,PLC输入1,,,,,,,DS,V124+
DT,万用表5+,DT,PLC输入2,,,,,,,DT,S124+
DU,万用表5-,DU,PLC输入3,,,,,,,DU,V125+
DV,万用表6+,DV,PLC输入4,,,,,,,DV,S125+
DW,万用表6-,DW,PLC输入5,,,,,,,DW,V126+
DX,万用表7+,DX,PLC输出1,,,,,,,DX,S126+
DY,万用表7-,DY,PLC输出2,,,,,,,DY,
DZ,万用表8+,DZ,PLC输出3,,,,,,,DZ,
EA,万用表8-,EA,PLC输出4,,,,,,,EA,
EB,万用表9+,EB,24V-,,,,,,,EB,
EC,万用表9-,EC,24V+,,,,,,,EC,
ED,万用表10+,ED,485+,,,,,,,ED,
EE,万用表10-,EE,485-,,,,,,,EE,
EF,万用表11+,EF,从机POWER+,,,,,,,EF,
EH,万用表11-,EH,从机WAKE1,,,,,,,EH,
EJ,万用表12+,EJ,从机PWOER1-,,,,,,,EJ,
EK,万用表12-,EK,从机INCANH,,,,,,,EK,
EL,,EL,从机INCANL,,,,,,,EL,
